country,suicide rates (per 100k pop)
Afghanistan,6
Albania,3.7
Algeria,2.6
Angola,12.6
Antigua and Barbuda,0.3
Argentina,8.1
Armenia,2.7
Australia,11.3
Austria,10.4
Azerbaijan,4
Bahamas,3.4
Bahrain,7.2
Bangladesh,3.9
Barbados,0.3
Belarus,16.5
Belgium,13.9
Belize,7.7
Benin,12.7
Bhutan,5.1
Bolivia (Plurinational State of),6.8
Bosnia and Herzegovina,8.3
Botswana,20.2
Brazil,6.4
Brunei Darussalam,2.5
Bulgaria,6.5
Burkina Faso,14.4
Burundi,12.1
Côte d'Ivoire,15.7
Cabo Verde,15.2
Cambodia,5.5
Cameroon,15.9
Canada,10.3
Central African Republic,23
Chad,13.2
Chile,8
China,6.7
Colombia,3.7
Comoros,8.5
Congo,11.6
Costa Rica,7.6
Croatia,11
Cuba,10.2
Cyprus,3.2
Czechia,9.5
Democratic People's Republic of Korea,8.2
Democratic Republic of the Congo,12.4
Denmark,7.6
Djibouti,11.9
Dominican Republic,5.1
Ecuador,7.7
Egypt,3.4
El Salvador,6.1
Equatorial Guinea,13.5
Eritrea,17.3
Estonia,12
Eswatini,40.5
Ethiopia,9.5
Fiji,9.5
Finland,13.4
France,9.7
Gabon,13.1
Gambia,9.6
Georgia,7.7
Germany,8.3
Ghana,10.5
Greece,3.6
Grenada,0.6
Guatemala,6.2
Guinea,12.3
Guinea-Bissau,12.4
Guyana,40.9
Haiti,11.2
Honduras,2.6
Hungary,11.8
Iceland,11.2
India,12.9
Indonesia,2.6
Iran,5.1
Iraq,4.7
Ireland,8.9
Israel,5.2
Italy,4.3
Jamaica,2.3
Japan,12.2
Jordan,2
Kazakhstan,18.1
Kenya,11
Kiribati,30.6
Kuwait,2.7
Kyrgyzstan,8.3
Lao People's Democratic Republic,6
Latvia,16.1
Lebanon,2.8
Lesotho,87.5
Liberia,7.4
Libya,4.5
Lithuania,20.2
Luxembourg,8.6
Madagascar,9.2
Malawi,10.6
Malaysia,5.8
Maldives,2.8
Mali,8
Malta,5.3
Mauritania,5.5
Mauritius,8.8
Mexico,5.3
Micronesia (Federated States of),29
Mongolia,18
Montenegro,16.2
Morocco,7.3
Mozambique,23.2
Myanmar,3
Namibia,13.5
Nepal,9.8
Netherlands,9.3
New Zealand,10.3
Nicaragua,4.7
Niger,10.1
Nigeria,6.9
The former Yugoslav Republic of Macedonia,7.2
Norway,9.9
Oman,4.5
Pakistan,9.8
Panama,2.9
Papua New Guinea,3.6
Paraguay,6.2
Peru,2.7
Philippines,2.5
Poland,9.3
Portugal,7.2
Qatar,4.7
South Korea,21.2
Moldova,12.2
Romania,7.3
Russia,21.6
Rwanda,9.5
Saint Lucia,6.9
Saint Vincent and the Grenadines,1
Samoa,14.6
Sao Tome and Principe,2.2
Saudi Arabia,5.4
Senegal,11
Serbia,7.9
Seychelles,7.7
Sierra Leone,11.3
Singapore,9.7
Slovakia,9.3
Slovenia,14
Solomon Islands,17.4
Somalia,14.7
South Africa,23.5
South Sudan,6.7
Spain,5.3
Sri Lanka,12.9
Sudan,4.8
Suriname,25.9
Sweden,12.4
Switzerland,9.8
Syria,2.1
Turkey,2.3
Tajikistan,5.3
Thailand,8
Timor-Leste,4.5
Togo,14.8
Tonga,4.4
Trinidad and Tobago,8.3
Tunisia,3.2
Turkmenistan,6.1
Uganda,10.4
Ukraine,17.7
United Arab Emirates,5.2
United Kingdom,6.9
Tanzania,8.2
United States,14.5
Uruguay,18.8
Uzbekistan,8.3
Vanuatu,21
Venezuela,2.1
VietNam,7.2
Yemen,7.1
Zambia,14.4
Zimbabwe,23.6
