city,country,lon,lat,crime_index,temperature_2m_mean,suicide rates (per 100k pop)
Kabul,Afghanistan,69.1776838,34.5260109,79.39,55.154865,6.0
Tirana,Albania,19.8184435,41.3281482,44.5,61.552956,3.7
Algiers,Algeria,3.0601882,36.7753606,53.88,66.82097,2.6
Luanda,Angola,13.2439512,-8.8272699,67.45,76.12258,12.6
Buenos Aires,Argentina,-58.4370894,-34.6075682,63.33,62.703648,8.1
Cordoba,Argentina,-64.1834193,-31.4166867,60.38,64.363174,8.1
Rosario,Argentina,-60.6617024,-32.9593609,75.11,64.84276,8.1
Yerevan,Armenia,44.5126233,40.1777112,21.66,55.868824,2.7
Adelaide,Australia,138.5999312,-34.9281805,29.98,61.149105,11.3
Ballarat,Australia,143.8605645,-37.5623013,55.05,53.94575,11.3
Brisbane City,Australia,153.0234991,-27.4689682,35.05,66.81898,11.3
Cairns,Australia,145.7721854,-16.9206657,60.57,77.24214,11.3
Canberra,Australia,149.1012676,-35.2975906,22.31,54.932236,11.3
Darwin,Australia,130.8410469,-12.46044,58.47,80.90345,11.3
Geelong,Australia,144.3598241,-38.1493248,55.76,57.75044,11.3
Gold Coast City,Australia,153.4145987,-28.0023731,46.19,67.714836,11.3
Hobart,Australia,147.3281233,-42.8825088,32.18,54.273155,11.3
Melbourne,Australia,144.9631732,-37.8142454,44.39,58.337357,11.3
Newcastle,Australia,151.7812534,-32.9272881,46.6,64.15633,11.3
Perth,Australia,115.8605855,-31.9558933,41.61,64.8793,11.3
Rockhampton,Australia,150.5134227,-23.3782137,73.51,71.58864,11.3
Sydney,Australia,151.2082848,-33.8698439,33.81,61.894398,11.3
Toowoomba,Australia,151.953351,-27.5610193,53.17,60.92258,11.3
Wollongong City Council,Australia,150.893054,-34.4278083,51.73,62.551476,11.3
Graz,Austria,15.4382786,47.0708678,27.38,51.168552,10.4
Vienna,Austria,16.3725042,48.2083537,26.85,53.395885,10.4
Baku,Azerbaijan,49.8328009,40.3755885,30.36,60.70961,4.0
Manama,Bahrain,50.5822436,26.2235041,21.06,80.01275,7.2
Dhaka,Bangladesh,90.389015,23.7644025,63.66,77.552574,3.9
Minsk,Belarus,27.5618225,53.9024716,58.72,45.032608,16.5
Antwerp,Belgium,4.3997081,51.2211097,37.56,53.58105,13.9
Brussels,Belgium,4.351697,50.8465573,52.41,53.63603,13.9
Ghent,Belgium,3.7250121,51.0538286,26.26,53.42134,13.9
Liège,Belgium,5.5736112,50.6450944,57.38,53.720333,13.9
Banja Luka,Bosnia and Herzegovina,17.1917651,44.7720845,34.77,55.47538,8.3
Sarajevo,Bosnia and Herzegovina,18.3866868,43.8519774,45.21,53.098618,8.3
Gaborone,Botswana,25.9088474,-24.6581357,55.67,68.54382,20.2
Belo Horizonte,Brazil,-43.9450948,-19.9227318,63.54,69.54513,6.4
Brasília,Brazil,-47.8823172,-15.7934036,59.46,70.55306,6.4
Campinas,Brazil,-47.059564,-22.9056391,66.74,69.64792,6.4
Curitiba,Brazil,-49.2712724,-25.4295963,62.19,62.200813,6.4
Florianópolis,Brazil,-48.5496098,-27.5973002,51.49,68.83473,6.4
Fortaleza,Brazil,-38.5217989,-3.7304512,77.36,79.66244,6.4
Natal,Brazil,-35.2080905,-5.805398,77.69,78.614975,6.4
Porto Alegre,Brazil,-51.2303767,-30.0324999,72.92,66.490204,6.4
Recife,Brazil,-34.8848193,-8.0584933,76.42,78.12658,6.4
Rio de Janeiro,Brazil,-43.2093727,-22.9110137,77.93,74.15068,6.4
Salvador,Brazil,-38.4812772,-12.9822499,75.69,77.29016,6.4
São Paulo,Brazil,-46.6333824,-23.5506507,70.49,65.755905,6.4
Vitória,Brazil,-40.3376682,-20.3200917,45.72,74.67523,6.4
Sofia,Bulgaria,23.3217359,42.6977028,42.13,52.9839,6.5
Varna,Bulgaria,27.9166653,43.2073873,37.13,57.253082,6.5
Phnom Penh,Cambodia,104.9224426,11.568271,53.56,80.86689,5.5
Brampton,Canada,-79.7599366,43.685832,54.98,47.383396,10.3
Burlington,Canada,-79.7966835,43.3248924,30.0,49.44636,10.3
Calgary,Canada,-114.057541,51.0456064,36.82,40.306923,10.3
Coquitlam,Canada,-122.793281,49.2842958,22.51,50.600456,10.3
Edmonton,Canada,-113.491241,53.5462055,44.56,38.063526,10.3
Greater Sudbury,Canada,-80.991211,46.49272,60.1,41.010338,10.3
Guelph,Canada,-80.2493276,43.5460516,33.17,46.235634,10.3
Halifax,Canada,-63.5859487,44.648618,41.16,47.684162,10.3
Hamilton,Canada,-79.8728583,43.2560802,54.53,54.14373,10.3
Kamloops,Canada,-120.339415,50.6758269,52.63,48.48483,10.3
Kelowna,Canada,-119.495902,49.8879177,61.56,48.793053,10.3
Kingston,Canada,-76.481323,44.230687,34.17,63.254612,10.3
Kitchener,Canada,-80.4927815,43.451291,40.97,46.151768,10.3
Lethbridge,Canada,-112.8331033,49.6945782,63.89,43.59873,10.3
London,Canada,-81.243372,42.9832406,53.59,50.80583,10.3
Markham,Canada,-79.3376825,43.8563707,25.15,46.83958,10.3
Mississauga,Canada,-79.6443879,43.5896231,43.06,47.94054,10.3
Moncton,Canada,-64.80011,46.097995,45.04,45.633224,10.3
Montreal,Canada,-73.5698065,45.5031824,30.99,45.128464,10.3
Nanaimo,Canada,-123.938122,49.163877,49.23,50.715324,10.3
Oakville,Canada,-79.666672,43.447436,25.74,48.956013,10.3
Oshawa,Canada,-78.8635324,43.8975558,55.08,47.482437,10.3
Ottawa,Canada,-75.6901106,45.4208777,27.27,45.07358,10.3
Quebec,Canada,-71.2084061,46.8137431,15.14,42.071823,10.3
Red Deer,Canada,-113.8141464,52.2690628,61.75,38.428627,10.3
Regina,Canada,-104.61731,50.44876,52.82,37.701893,10.3
Richmond Hill,Canada,-79.4392925,43.8801166,26.28,46.471992,10.3
Saskatoon,Canada,-106.660767,52.131802,48.81,36.94747,10.3
Sault Ste. Marie,Canada,-84.320068,46.52391,59.81,40.92586,10.3
St. Catharines,Canada,-79.2441003,43.1579812,47.42,49.9744,10.3
St. John's,Canada,-52.7126162,47.5614705,46.99,45.194103,10.3
Surrey,Canada,-122.849143,49.1913033,64.58,48.270584,10.3
Toronto,Canada,-79.3839347,43.6534817,41.52,48.276894,10.3
Vancouver,Canada,-123.113952,49.2608724,38.25,50.18794,10.3
Vaughan,Canada,-79.5268023,43.7941544,42.7,46.622353,10.3
Victoria,Canada,-123.3649533,48.4283182,38.05,50.472176,10.3
Windsor,Canada,-83.0373389,42.3167397,43.25,50.452183,10.3
Winnipeg,Canada,-97.1384584,49.8955367,58.93,36.745518,10.3
Santiago,Chile,-70.6504502,-33.4377756,59.8,60.08206,8.0
Beijing,China,116.3912972,39.9057136,32.44,54.698288,6.7
Guangzhou City,China,113.2592945,23.1301964,36.41,72.33241,6.7
Hong Kong,China,114.135572,22.381131,21.62,71.23477,6.7
Shanghai,China,121.4691024,31.2323437,33.41,63.02277,6.7
Shenzhen,China,114.0545429,22.5445741,31.86,72.95919,6.7
Bogota,Colombia,-74.0835643,4.6529539,65.42,55.576305,3.7
Cali,Colombia,-76.5329352,3.4520339,69.5,68.65338,3.7
